PDB ID,PDB Chain Id,Protein,Source Organism,Protein length,Experimental Methods,Resolution (Å),Oligomeric State,Chain 1,Chain 2,Category,BSA_complex,BSA_chain1,BSA_chain2,FNP_complex,FNP_chain1,FNP_chain2,FBU_complex,FBU_chain1,FBU_chain2,LD_complex,LD_chain1,LD_chain2
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,C,F,Protein-Protein,404.7,199.56,205.14,81.05,78.6,83.44,9.62,7.69,11.54,40.08,19.0,21.54
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,C,F,Protein-Protein,404.7,199.56,205.14,81.05,78.6,83.44,9.62,7.69,11.54,40.08,19.0,21.54
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,C,G,Protein-Protein,2613.58,1210.58,1403.0,68.74,73.06,65.01,30.56,35.71,24.11,82.3,43.54,40.27
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,D,G,Protein-Protein,48.77,23.28,25.49,58.89,13.87,100.0,0.0,0.0,0.0,7.0,5.0,1.0
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,D,H,Protein-Protein,2021.89,954.37,1067.52,73.91,72.7,75.0,35.9,42.06,28.41,83.77,42.54,42.45
2BSQ,ABCDEFGH:IJ,TRAFFICKING PROTEIN A+TRAFFICKING PROTEIN B,N. gonorrhoeae,146+77,X,3.0,Hetero 8-mer,E,H,Protein-Protein,2742.92,1373.81,1369.11,67.47,68.28,66.65,34.8,33.86,35.77,101.38,51.83,51.01
2C62,AB:C,ACTIVATED RNA POLYMERASE II TRANSCRIPTIONAL COACTIVATOR P15,H. sapiens,66,X,1.74,Homo 2-mer,A,B,Protein-Protein,2872.02,1433.72,1438.3,75.24,75.09,75.38,42.45,41.43,43.48,87.56,46.1,45.28
2C9L,YZ:AB,BZLF1 TRANS-ACTIVATOR PROTEIN,E. virus,63,X,2.25,Homo 2-mer,Y,Z,Protein-Protein,2868.99,1394.69,1474.3,72.1,74.09,70.22,39.56,37.24,42.19,93.35,49.57,45.89
2ER8,ABCD:EFGH,Regulatory protein LEU3,S. cerevisiae,72,X,2.85,Homodimer,A,B,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2NLL,AB:CD,PROTEIN (RETINOIC ACID RECEPTOR)+PROTEIN (THYROID HORMONE RECEPTOR),H. sapiens,103+66,X,1.9,Hetero 2-mer,A,B,Protein-Protein,505.36,288.33,217.03,27.37,19.32,38.07,12.77,5.0,18.52,35.28,16.0,20.0
2OR1,LR:AB,434 REPRESSOR,E. phage 434,69,X,2.5,Homo 2-mer,L,R,Protein-Protein,648.12,334.82,313.3,58.84,57.47,60.3,3.08,5.88,0.0,46.89,25.0,23.35
2P5L,CDGH:ABEF,Arginine repressor,B. subtilis,64,X,2.85,Homodimer,C,D,Protein-Protein,1002.62,504.44,498.18,64.62,65.25,63.97,18.0,18.37,17.65,53.0,26.16,27.22
2QL2,ABCD:EFGH,Neurogenic differentiation factor 1,M. musculus,60,X,2.5,Homo 2-mer,A,B,Protein-Protein,1890.76,947.16,943.6,88.78,88.78,88.78,45.0,42.86,47.19,77.23,39.27,41.12
2R1J,LR:BA,Repressor protein C2,S. phage P22,68,X,1.53,Homo 2-mer,L,R,Protein-Protein,731.57,367.41,364.16,70.54,69.14,71.96,21.88,22.58,21.21,46.19,22.19,23.7
2RBF,AB:CD,Bifunctional protein putA,E. coli,54,X,2.25,Homodimer,A,B,Protein-Protein,3239.64,1591.23,1648.41,70.8,71.78,69.85,36.64,36.99,36.3,105.97,53.7,53.27
2VY1,A:W,PROTEIN LEAFY,A. thaliana,194,X,2.1,Homodimer,A,B,Protein-Protein,649.63,324.81,324.82,45.75,45.75,45.75,17.95,17.95,17.95,35.49,18.1,18.1
2W7N,AB:EFGH,TRFB TRANSCRIPTIONAL REPRESSOR PROTEIN,E. coli,101,X,1.85,Homodimer,A,B,Protein-Protein,2117.83,1079.92,1037.91,72.71,72.85,72.56,35.68,33.02,38.32,107.34,53.55,55.03
2YPA,ABCD:EF,LIM DOMAIN-BINDING PROTEIN 1+RHOMBOTIN-2+T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN 1+TRANSCRIPTION FACTOR E2-ALPHA,H. sapiens,145+51+82+91,X,2.8,Hetero 4-mer,A,B,Protein-Protein,2207.95,1129.8,1078.15,79.76,75.4,84.32,44.08,44.34,43.81,74.1,39.25,37.87
2YPA,ABCD:EF,LIM DOMAIN-BINDING PROTEIN 1+RHOMBOTIN-2+T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN 1+TRANSCRIPTION FACTOR E2-ALPHA,H. sapiens,145+51+82+91,X,2.8,Hetero 4-mer,A,C,Protein-Protein,1251.21,615.77,635.44,65.93,76.21,55.98,22.83,27.54,17.24,63.48,33.83,31.62
2YPA,ABCD:EF,LIM DOMAIN-BINDING PROTEIN 1+RHOMBOTIN-2+T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN 1+TRANSCRIPTION FACTOR E2-ALPHA,H. sapiens,145+51+82+91,X,2.8,Hetero 4-mer,B,C,Protein-Protein,670.56,354.12,316.44,45.9,55.87,34.74,16.42,13.33,18.92,53.7,24.73,29.35
2YPA,ABCD:EF,LIM DOMAIN-BINDING PROTEIN 1+RHOMBOTIN-2+T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN 1+TRANSCRIPTION FACTOR E2-ALPHA,H. sapiens,145+51+82+91,X,2.8,Hetero 4-mer,C,D,Protein-Protein,3372.03,1574.85,1797.18,62.5,57.62,66.77,31.89,31.25,32.65,73.23,37.83,36.35
2YVH,ABCD:EFGH,Transcriptional regulator,C. glutamicum,177,X,2.5,Homodimer,A,B,Protein-Protein,3710.78,1886.39,1824.39,69.21,68.18,70.28,41.1,41.94,40.22,87.72,46.66,43.85
2ZHG,A:B,Redox-sensitive transcriptional activator soxR,E. coli,154,X,2.8,Homodimer,A,C,Protein-Protein,3213.27,1606.61,1606.66,65.23,65.23,65.23,35.95,35.95,35.95,74.35,38.75,38.75
3A5T,AB:CD,Transcription factor MafG,M. musculus,107,X,2.8,Homodimer,A,B,Protein-Protein,1786.11,855.9,930.21,75.29,72.79,77.59,19.39,22.99,15.38,53.01,28.92,25.74
3CLC,ABCD:EF,Regulatory protein,E. sp. RFL1396,82,X,2.8,Homodimer,A,B,Protein-Protein,1895.23,964.73,930.5,79.89,79.3,80.5,39.64,40.23,39.02,77.1,41.2,38.71
3CLC,ABCD:EF,Regulatory protein,E. sp. RFL1396,82,X,2.8,Homodimer,B,C,Protein-Protein,181.01,90.24,90.77,24.46,18.68,30.21,0.0,0.0,0.0,13.0,6.0,6.0
3CLC,ABCD:EF,Regulatory protein,E. sp. RFL1396,82,X,2.8,Homodimer,C,D,Protein-Protein,1912.71,937.22,975.49,79.56,79.9,79.24,43.27,40.96,45.45,77.58,38.63,41.59
3D2W,A:B,TAR DNA-binding protein 43,M. musculus,89,X,1.65,Homodimer,A,C,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DNV,AB:T,HTH-type transcriptional regulator hipB+Protein hipA,E. coli,440+88,X,2.68,Heterodimer,A,B,Protein-Protein,1036.02,514.64,521.38,55.12,58.85,51.43,17.5,17.19,17.86,55.83,30.47,27.61
3DNV,AB:T,HTH-type transcriptional regulator hipB+Protein hipA,E. coli,440+88,X,2.68,Heterodimer,A,D,Protein-Protein,686.0,349.86,336.14,62.63,73.22,51.61,18.31,3.45,28.57,50.14,19.24,32.76
3DNV,AB:T,HTH-type transcriptional regulator hipB+Protein hipA,E. coli,440+88,X,2.68,Heterodimer,B,C,Protein-Protein,686.0,336.14,349.86,62.63,51.61,73.22,18.31,28.57,3.45,50.14,32.76,19.24
3DNV,AB:T,HTH-type transcriptional regulator hipB+Protein hipA,E. coli,440+88,X,2.68,Heterodimer,B,D,Protein-Protein,2803.84,1401.92,1401.92,69.18,69.18,69.18,54.17,54.17,54.17,120.47,61.57,61.57
3DNV,AB:T,HTH-type transcriptional regulator hipB+Protein hipA,E. coli,440+88,X,2.68,Heterodimer,C,D,Protein-Protein,1036.02,514.64,521.38,55.12,58.85,51.43,17.5,17.19,17.86,55.83,30.47,27.61
3E6C,C:BA,Cyclic nucleotide-binding protein,D. hafniense,250,X,1.8,Homodimer,C,F,Protein-Protein,4649.12,2324.56,2324.56,69.88,69.88,69.88,46.49,46.49,46.49,102.43,52.25,52.25
3FDQ,AB:CD,Motility gene repressor mogR,L. monocytogenes serovar 1/2a,170,X,1.75,Homodimer,A,B,Protein-Protein,307.03,153.72,153.31,44.93,44.83,45.02,5.56,5.56,5.56,27.78,13.67,13.67
3GFI,AC:DE,146aa long hypothetical transcriptional regulator,S. tokodaii,146,X,2.1,Homodimer,A,C,Protein-Protein,5630.67,2831.54,2799.13,72.61,72.81,72.4,38.64,38.81,38.46,122.92,65.21,57.47
3GNA,A:DE,V(D)J recombination-activating protein 1,M. musculus,96,X,2.4,Homodimer,A,B,Protein-Protein,3722.72,1861.36,1861.36,71.74,71.74,71.74,32.09,32.09,32.09,110.54,58.31,58.31
3GXQ,AB:CD,Putative regulator of transfer genes ArtA,S. aureus,54,X,2.35,Homodimer,A,B,Protein-Protein,3304.61,1641.25,1663.36,72.18,73.09,71.28,38.61,38.82,38.41,113.49,56.16,55.95
3GZ6,AB:DC,MutT/nudix family protein,S. oneidensis,240,X,2.9,Heterodimer,A,B,Protein-Protein,1986.88,991.77,995.11,59.45,59.64,59.26,27.62,28.0,27.27,59.36,29.6,31.47
3H0D,AB:DC,CtsR,G. stearothermophilus,155,X,2.4,Homodimer,A,B,Protein-Protein,2165.93,1061.88,1104.05,60.31,63.03,57.69,41.71,41.51,41.9,73.4,37.34,38.0
3HTS,B:A,HEAT SHOCK TRANSCRIPTION FACTOR,K. lactis,102,X,1.75,Homodimer,B,D,Protein-Protein,763.6,381.8,381.8,43.95,43.95,43.95,9.3,9.3,9.3,45.19,22.84,22.84
3IGM,BA:WXCD,PF14_0633 protein,P. falciparum,77,X,2.2,Homodimer,A,B,Protein-Protein,3100.15,1555.72,1544.43,74.84,74.81,74.87,38.39,41.32,35.5,84.4,42.95,42.93
3IKT,AB:CD,Redox-sensing transcriptional repressor rex,T. thermophilus,207,X,2.26,Homodimer,A,B,Protein-Protein,5174.2,2566.9,2607.3,73.85,75.55,72.16,38.1,37.23,39.04,97.97,49.95,48.56
3IV5,AB:CD,DNA-binding protein fis,E. coli,98,X,2.9,Homodimer,A,B,Protein-Protein,4445.61,2219.83,2225.78,72.5,72.46,72.55,39.68,40.28,39.11,111.84,58.1,57.44
3JSO,AB:CD,LexA repressor,E. coli,202,X,2.29,Homodimer,A,B,Protein-Protein,2809.99,1382.21,1427.78,55.4,54.25,56.5,29.83,32.03,27.46,69.25,36.86,34.45
3KS8,ABCD:EF,Polymerase cofactor VP35,R. ebolavirus,184,X,2.4,Homo 2-mer,A,B,Protein-Protein,681.77,365.52,316.25,29.8,29.26,30.42,25.35,21.21,28.95,51.27,24.73,27.37
3LSP,A:BD,DesT,P. aeruginosa,220,X,2.66,Homodimer,A,C,Protein-Protein,3083.2,1541.6,1541.6,73.91,73.91,73.91,33.13,33.13,33.13,86.52,45.41,45.41
3MLN,ABE:CD,Transcription factor COE1,M. musculus,224,X,2.4,Homodimer,A,B,Protein-Protein,583.57,290.04,293.53,47.67,52.83,42.57,13.33,12.9,13.79,36.47,18.39,18.34
3MZH,AB:CD,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY CRP/FNR-FAMILY),M. tuberculosis,225,X,2.9,Homo 2-mer,A,B,Protein-Protein,3442.37,1717.04,1725.33,71.39,69.98,72.79,35.61,36.0,35.23,97.85,49.19,51.31
3N4M,ABC:DE,Catabolite gene activator+DNA-directed RNA polymerase subunit alpha,E. coli,209+84,X,2.99,Hetero 6-mer,A,B,Protein-Protein,697.0,330.87,366.13,53.39,47.88,58.37,36.11,42.11,29.41,58.56,33.42,25.65
3N4M,ABC:DE,Catabolite gene activator+DNA-directed RNA polymerase subunit alpha,E. coli,209+84,X,2.99,Hetero 6-mer,B,C,Protein-Protein,319.3,138.2,181.1,67.3,67.5,67.15,8.11,13.64,0.0,31.89,19.45,13.33
3O9X,AB:FE,Uncharacterized HTH-type transcriptional regulator ygiT,E. coli,133,X,2.1,Homo 2-mer,A,B,Protein-Protein,1614.97,804.09,810.88,65.96,66.48,65.44,44.85,45.78,43.9,82.61,41.88,42.85
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,A,B,Protein-Protein,1230.75,615.9,614.85,68.58,69.05,68.1,11.03,11.76,10.29,42.6,22.62,20.56
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,A,C,Protein-Protein,2703.37,1319.32,1384.05,69.52,72.42,66.76,35.36,35.51,35.2,78.56,35.45,46.11
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,A,D,Protein-Protein,5588.53,2819.72,2768.81,74.33,72.59,76.11,38.17,38.26,38.08,99.65,53.58,47.16
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,B,C,Protein-Protein,5742.7,2900.68,2842.02,73.94,71.75,76.17,39.03,37.74,40.29,99.44,52.88,48.37
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,B,D,Protein-Protein,2535.43,1244.78,1290.65,72.25,76.7,67.96,35.59,36.89,34.21,78.76,35.69,46.12
3ON0,ABCD:P,Protein traM,E. coli,127,X,2.87,Homotetramer,C,D,Protein-Protein,919.95,466.13,453.82,76.16,76.84,75.46,12.61,10.71,14.55,37.82,19.11,18.8
3Q5F,AB:CD,Transcriptional regulator slyA,S. typhimurium,147,X,2.96,Homodimer,A,B,Protein-Protein,4248.02,2106.85,2141.17,76.44,76.37,76.51,25.88,25.13,26.63,100.63,50.76,49.48
3R2C,ABJK:RS,30S ribosomal protein S10+N utilization substance protein B,A. aeolicus,148+83,X,1.9,Heterodimer,A,J,Protein-Protein,1681.87,854.59,827.28,51.46,50.59,52.37,46.11,44.79,47.62,78.26,40.73,39.86
3U3W,ABPQ:YZ,C-terminus heptapeptide from PapR protein+Transcriptional activator PlcR protein,B. thuringiensis,293+7,X,2.4,Heterodimer,A,B,Protein-Protein,3782.43,1885.84,1896.59,71.81,71.52,72.09,30.93,32.65,29.17,79.55,43.05,41.48
3VOK,A:U,Transcriptional regulator,L. lactis subsp. lactis,189,X,2.0,Homodimer,A,B,Protein-Protein,3147.25,1573.6,1573.65,72.37,72.37,72.38,30.87,30.87,30.87,77.03,39.83,39.83
3ZKC,AB:CD,HTH-TYPE TRANSCRIPTIONAL REGULATOR SINR,B. subtilis,111,X,3.0,Homodimer,A,B,Protein-Protein,1038.02,525.07,512.95,65.24,65.79,64.68,24.47,19.57,29.17,57.28,28.57,29.21
3ZPL,ABEF:CDGH,PUTATIVE MARR-FAMILY TRANSCRIPTIONAL REPRESSOR,S. coelicolor,177,X,2.8,Homodimer,A,B,Protein-Protein,5267.58,2631.23,2636.35,74.0,73.04,74.96,30.68,29.18,32.17,108.89,55.09,55.45
3ZQL,ABCD:EFGH,PUTATIVE REPRESSOR SIMREG2,S. antibioticus,267,X,2.99,Homodimer,C,D,Protein-Protein,5201.05,2588.48,2612.57,70.13,69.49,70.76,22.65,21.76,23.55,75.27,40.21,39.52
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,E,B,Protein-Protein,442.61,237.02,205.59,71.39,75.61,66.53,13.64,5.0,20.83,37.86,17.7,19.5
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,E,A,Protein-Protein,1982.27,1048.34,933.93,76.07,80.44,71.18,46.7,45.88,47.32,96.51,45.62,52.39
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,E,H,Protein-Protein,3197.64,1586.61,1611.03,64.38,65.0,63.77,42.62,44.0,41.29,110.39,55.13,54.18
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,F,B,Protein-Protein,2881.04,1580.47,1300.57,68.53,70.43,66.22,38.83,36.03,41.29,87.64,41.13,47.32
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,F,C,Protein-Protein,449.71,249.24,200.47,56.35,72.99,35.66,12.73,9.52,14.71,26.95,9.52,17.24
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,F,G,Protein-Protein,3401.6,1698.21,1703.39,63.59,63.16,64.02,40.25,40.99,39.49,108.58,53.23,54.06
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,F,A,Protein-Protein,1040.61,567.54,473.07,63.1,68.31,56.84,25.66,22.22,28.81,61.22,30.85,31.83
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,F,D,Protein-Protein,5.98,3.06,2.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,H,B,Protein-Protein,11.64,5.82,5.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3ZVK,ABCDEFGH:XY,ANTITOXIN OF TOXIN-ANTITOXIN SYSTEM VAPB+TOXIN OF TOXIN-ANTITOXIN SYSTEM,R. felis,134+78,X,2.5,Hetero 8-mer,H,D,Protein-Protein,1537.65,824.94,712.71,74.53,77.85,70.69,46.45,46.58,46.34,90.68,49.4,43.37
4EGY,AB:TU,Arabinose metabolism transcriptional repressor,B. subtilis,88,X,2.3,Monomer,A,B,Protein-Protein,91.1,44.89,46.21,50.7,62.09,39.65,0.0,0.0,0.0,3.0,1.0,1.0
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,A,C,Protein-Protein,3878.34,1980.83,1897.51,57.48,54.03,61.08,30.85,30.16,31.46,74.48,38.6,39.09
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,A,D,Protein-Protein,88.12,48.47,39.65,25.82,0.0,57.38,9.09,0.0,11.11,10.0,1.0,8.0
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,B,C,Protein-Protein,507.79,265.96,241.83,43.29,40.43,46.42,8.33,4.35,12.0,29.12,13.04,16.08
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,B,D,Protein-Protein,2347.42,1136.76,1210.66,54.03,57.33,50.93,18.26,19.67,16.81,63.8,31.46,34.45
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,C,D,Protein-Protein,17343.56,8786.96,8556.6,65.12,66.3,63.9,44.06,44.93,43.25,108.62,58.67,53.85
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,C,F,Protein-Protein,4745.52,2408.96,2336.56,61.06,61.42,60.69,24.3,25.19,23.33,62.51,35.27,29.65
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,D,E,Protein-Protein,4564.54,2358.4,2206.14,62.0,60.97,63.09,39.25,40.26,38.18,103.22,50.03,56.21
4G7H,ABCDEFKLMNOP:GHQR,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor,T. thermophilus,1119+1524+315+443+99,X,2.9,Hetero 6-mer,D,F,Protein-Protein,7636.12,3834.38,3801.74,56.41,55.11,57.73,26.34,26.9,25.75,71.32,38.63,35.09
4G92,ABC:DE,HAPB protein+HapE+Transcription factor HapC (Eurofung),E. nidulans,119+64+92,X,1.8,Hetero 3-mer,A,B,Protein-Protein,1629.81,866.75,763.06,53.72,56.44,50.63,21.77,21.21,22.22,53.54,24.12,29.95
4G92,ABC:DE,HAPB protein+HapE+Transcription factor HapC (Eurofung),E. nidulans,119+64+92,X,1.8,Hetero 3-mer,A,C,Protein-Protein,787.35,390.07,397.28,57.4,50.78,63.89,11.39,10.0,12.82,38.18,19.8,17.79
4G92,ABC:DE,HAPB protein+HapE+Transcription factor HapC (Eurofung),E. nidulans,119+64+92,X,1.8,Hetero 3-mer,B,C,Protein-Protein,5744.01,2893.3,2850.71,70.55,71.31,69.77,47.55,49.65,45.42,108.36,59.31,54.34
4H10,AB:CD,Polymerase cofactor VP35,H. sapiens,146,X,2.4,Heterodimer,A,B,Protein-Protein,2004.93,1014.34,990.59,79.41,81.99,76.76,38.25,41.86,35.05,78.37,39.65,41.59
4HF1,AB:CD,Aryl hydrocarbon receptor nuclear translocator-like protein 1+Circadian locomoter output cycles protein kaput,E. coli,71+73,X,2.22,Homodimer,A,B,Protein-Protein,3424.06,1724.09,1699.97,73.07,73.75,72.39,37.96,38.79,37.11,80.94,42.5,41.14
4HQE,AB:CD,Transcriptional regulator QsrR,S. aureus,115,X,2.3,Homodimer,A,B,Protein-Protein,4508.64,2250.06,2258.58,71.28,72.0,70.56,35.68,35.65,35.71,101.57,54.57,50.4
4HQU,A:C,Platelet-derived growth factor subunit B,H. sapiens,109,X,2.2,Homodimer,A,B,Protein-Protein,2205.89,1102.94,1102.95,62.67,62.67,62.67,28.83,28.83,28.83,59.82,29.96,29.96
4I2O,AB:WX,FixK2 protein,B. japonicum,243,X,1.77,Homodimer,A,B,Protein-Protein,4251.88,2119.36,2132.52,65.65,65.95,65.35,34.45,35.27,33.65,98.29,49.93,50.44
4IHT,ABCD:EFGH,HTH-type transcriptional regulator BenM,A. baylyi,94,X,3.0,Homodimer,A,B,Protein-Protein,2377.54,1213.82,1163.72,59.26,61.44,56.98,49.37,49.18,49.57,83.46,42.97,43.25
4IQR,ABEFIJKL:CDGH,Hepatocyte nuclear factor 4-alpha+Nuclear receptor coactivator 2,H. sapiens,13+338,X,2.9,Homodimer,A,B,Protein-Protein,3813.45,1845.09,1968.36,51.39,52.23,50.61,22.72,25.35,19.79,80.4,45.0,39.06
4IZZ,AB:CD,Transcription Factor HetR,F. thermalis PCC 7521,302,X,2.5,Homodimer,A,B,Protein-Protein,14328.36,7138.73,7189.63,67.4,67.66,67.13,49.57,49.86,49.28,153.13,77.97,79.26
4J19,AB:CD,Homeobox-containing protein 1,H. sapiens,113,X,2.9,Monomer,A,B,Protein-Protein,189.44,93.47,95.97,49.94,55.46,44.56,8.33,16.67,0.0,18.92,9.83,9.0
4JCX,AB:CD,Csp231I C protein,C. sp. RFL231,98,X,2.3,Homodimer,A,B,Protein-Protein,2336.61,1163.83,1172.78,76.7,77.09,76.31,41.18,42.02,40.34,87.66,46.66,44.27
4JL3,ABCD:EF,"Transcriptional regulator, TetR family",M. smegmatis,196,X,2.5,Homodimer,A,B,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4KFC,AB:YZ,KDP operon transcriptional regulatory protein KdpE,E. coli,227,X,2.53,Homodimer,A,B,Protein-Protein,2200.5,1088.66,1111.84,52.64,52.32,52.94,26.39,24.55,28.3,60.26,30.91,30.85
4LDX,AB:CD,Auxin response factor 1,A. thaliana,363,X,2.9,Homodimer,A,B,Protein-Protein,2378.72,1181.39,1197.33,70.01,69.98,70.04,30.16,29.46,30.89,84.65,42.67,42.5
4LLN,ABCDIJ:GHEFKL,MepR,S. aureus,140,X,2.84,Homodimer,A,B,Protein-Protein,4218.06,2081.9,2136.16,72.14,73.75,70.58,37.66,38.0,37.31,125.16,62.85,61.93
4MTD,ABCD:YZ,Zinc uptake regulation protein,E. coli,171,X,2.5,Homodimer,A,B,Protein-Protein,402.75,201.07,201.68,57.74,53.31,62.15,0.0,0.0,0.0,41.39,21.44,21.42
4NHJ,AB:CD,DNA-binding transcriptional regulator RstA,K. pneumoniae subsp. pneumoniae,119,X,2.7,Homodimer,A,B,Protein-Protein,723.32,334.4,388.92,51.87,54.92,49.24,20.83,23.68,17.65,43.75,21.16,23.24
4ON0,ABCD:EGFH,NolR,R. fredii,118,X,3.0,Homodimer,A,B,Protein-Protein,2766.49,1371.89,1394.6,80.69,83.06,78.36,37.59,36.49,38.73,77.76,39.26,39.56
4R22,B:G,HTH-type transcriptional regulator TnrA,P. megaterium,82,X,2.6,Homodimer,A,B,Protein-Protein,987.72,493.86,493.86,81.84,81.84,81.84,31.37,31.37,31.37,68.22,34.9,34.9
